ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,333,81,2846,0.205556
2,2,236,45,2090,0.262222
3,3,148,31,1292,0.23871
4,4,154,25,1387,0.308
5,5,154,23,1399,0.334783
6,6,72,12,647,0.3
7,7,103,11,962,0.468182
8,8,96,9,907,0.533333
9,9,81,9,754,0.45
10,10,90,9,846,0.5
11,11,66,6,624,0.55
12,12,96,8,911,0.6
13,13,92,6,882,0.766667
14,14,56,4,536,0.7
15,15,60,4,575,0.75
16,16,68,4,656,0.85
17,17,68,4,656,0.85
18,18,36,2,348,0.9
19,19,76,4,736,0.95
20,20,80,4,776,1
